id,product_name,product_category,price,product_url,image_url,description,color
1,LACK,center-table,2690,https://www.ikea.com/in/en/p/lack-coffee-table-black-brown-20352987/,https://www.ikea.com/in/en/images/products/lack-coffee-table-black-brown__57540_pe163122_s5.jpg?f=xxs,"Coffee table, 90x55 cm (35 3/8x21 5/8 ")",Gray
2,VITTSJÖ,center-table,3490,https://www.ikea.com/in/en/p/vittsjoe-coffee-table-black-brown-glass-00213313/,https://www.ikea.com/in/en/images/products/vittsjoe-coffee-table-black-brown-glass__0135348_pe292039_s5.jpg?f=xxs,"Coffee table, 75 cm (29 1/2 ")",Gray
3,NODELAND,center-table,1990,https://www.ikea.com/in/en/p/nodeland-coffee-table-medium-brown-20500407/,https://www.ikea.com/in/en/images/products/nodeland-coffee-table-medium-brown__0974637_pe812499_s5.jpg?f=xxs,"Coffee table, 80x50 cm (31 1/2x19 5/8 ")",Beige
4,VITTSJÖ,center-table,4990,https://www.ikea.com/in/en/p/vittsjoe-nest-of-tables-set-of-2-black-brown-glass-60215333/,https://www.ikea.com/in/en/images/products/vittsjoe-nest-of-tables-set-of-2-black-brown-glass__0735687_pe740087_s5.jpg?f=xxs,"Nest of tables, set of 2, 90x50 cm (35 3/8x19 5/8 ")",Gray
5,LACK,center-table,4990,https://www.ikea.com/in/en/p/lack-coffee-table-black-brown-80352951/,https://www.ikea.com/in/en/images/products/lack-coffee-table-black-brown__57537_pe163119_s5.jpg?f=xxs,"Coffee table, 118x78 cm (46 1/2x30 3/4 ")",Gray
6,STOCKHOLM,center-table,19990,https://www.ikea.com/in/en/p/stockholm-coffee-table-walnut-veneer-90353078/,https://www.ikea.com/in/en/images/products/stockholm-coffee-table-walnut-veneer__0181245_pe332924_s5.jpg?f=xxs,"Coffee table, 180x59 cm (70 7/8x23 1/4 ")",Beige
7,GLADOM,center-table,999,https://www.ikea.com/in/en/p/gladom-tray-table-black-00411997/,https://www.ikea.com/in/en/images/products/gladom-tray-table-black__0567223_pe664991_s5.jpg?f=xxs,"Tray table, 45x53 cm (17 1/2x20 5/8 ")",Gray
8,FRÖTORP,center-table,10990,https://www.ikea.com/in/en/p/froetorp-coffee-table-anthracite-marble-effect-black-glass-50497583/,https://www.ikea.com/in/en/images/products/froetorp-coffee-table-anthracite-marble-effect-black-glass__1022505_pe832773_s5.jpg?f=xxs,"Coffee table, 88 cm (34 5/8 ")",Gray
9,BORGEBY,center-table,8990,https://www.ikea.com/in/en/p/borgeby-coffee-table-birch-veneer-70449402/,https://www.ikea.com/in/en/images/products/borgeby-coffee-table-birch-veneer__0987623_pe817609_s5.jpg?f=xxs,"Coffee table, 70 cm (27 1/2 ")",Terracotta
10,LACK,center-table,1190,https://www.ikea.com/in/en/p/lack-side-table-black-brown-80352927/,https://www.ikea.com/in/en/images/products/lack-side-table-black-brown__57544_pe163126_s5.jpg?f=xxs,"Side table, 55x55 cm (21 5/8x21 5/8 ")",Maroon
11,ÖSTAVALL,center-table,12990,https://www.ikea.com/in/en/p/oestavall-adjustable-coffee-table-black-20534153/,https://www.ikea.com/in/en/images/products/oestavall-adjustable-coffee-table-black__1213707_pe911231_s5.jpg?f=xxs,"Adjustable coffee table, 90 cm (35 3/8 ")",Gray
12,KLINGSBO,center-table,6490,https://www.ikea.com/in/en/p/klingsbo-coffee-table-black-clear-glass-40161557/,https://www.ikea.com/in/en/images/products/klingsbo-coffee-table-black-clear-glass__80789_pe205172_s5.jpg?f=xxs,"Coffee table, 116x78 cm (45 5/8x30 3/4 ")",Gray
13,VIHALS,center-table,4490,https://www.ikea.com/in/en/p/vihals-coffee-table-white-20488735/,https://www.ikea.com/in/en/images/products/vihals-coffee-table-white__1035625_pe838133_s5.jpg?f=xxs,"Coffee table, 91x37 cm (35 7/8x14 5/8 ")",Cream
14,HOLMERUD,center-table,2490,https://www.ikea.com/in/en/p/holmerud-coffee-table-oak-effect-20530094/,https://www.ikea.com/in/en/images/products/holmerud-coffee-table-oak-effect__1193663_pe901563_s5.jpg?f=xxs,"Coffee table, 90x55 cm (35 3/8x21 5/8 ")",Beige
15,JAKOBSFORS,center-table,9490,https://www.ikea.com/in/en/p/jakobsfors-coffee-table-dark-brown-stained-oak-veneer-30515168/,https://www.ikea.com/in/en/images/products/jakobsfors-coffee-table-dark-brown-stained-oak-veneer__1108164_pe869323_s5.jpg?f=xxs,"Coffee table, 80 cm (31 1/2 ")",Gray
16,KVISTBRO,center-table,2690,https://www.ikea.com/in/en/p/kvistbro-storage-table-white-10349453/,https://www.ikea.com/in/en/images/products/kvistbro-storage-table-white__0477822_pe618485_s5.jpg?f=xxs,"Storage table, 44 cm (17 3/8 ")",Cream
17,LISTERBY,center-table,17990,https://www.ikea.com/in/en/p/listerby-coffee-table-dark-brown-beech-veneer-50562291/,https://www.ikea.com/in/en/images/products/listerby-coffee-table-dark-brown-beech-veneer__1170191_pe892708_s5.jpg?f=xxs,"Coffee table, 140x60 cm (55 1/8x23 5/8 ")",Beige
18,KNARREVIK,center-table,899,https://www.ikea.com/in/en/p/knarrevik-bedside-table-bright-yellow-00576323/,https://www.ikea.com/in/en/images/products/knarrevik-bedside-table-bright-yellow__1262969_pe927179_s5.jpg?f=xxs,"Bedside table, 37x28 cm (14 5/8x11 ")",Gold
19,HOL,center-table,6490,https://www.ikea.com/in/en/p/hol-storage-table-acacia-70353022/,https://www.ikea.com/in/en/images/products/hol-storage-table-acacia__0104310_pe251255_s5.jpg?f=xxs,"Storage table, 98x50 cm (38 5/8x19 5/8 ")",Terracotta
20,SVALSTA,center-table,7490,https://www.ikea.com/in/en/p/svalsta-nest-of-tables-set-of-2-birch-veneer-30280693/,https://www.ikea.com/in/en/images/products/svalsta-nest-of-tables-set-of-2-birch-veneer__0735684_pe740089_s5.jpg?f=xxs,"Nest of tables, set of 2",Coral
21,FJÄLLBO,center-table,5990,https://www.ikea.com/in/en/p/fjaellbo-coffee-table-black-30340381/,https://www.ikea.com/in/en/images/products/fjaellbo-coffee-table-black__0475920_pe615876_s5.jpg?f=xxs,"Coffee table, 90x46 cm (35 3/8x18 1/8 ")",Beige
22,IDANÄS,center-table,21990,https://www.ikea.com/in/en/p/idanaes-coffee-table-white-00487874/,https://www.ikea.com/in/en/images/products/idanaes-coffee-table-white__1161069_pe889277_s5.jpg?f=xxs,"Coffee table, 107x55 cm (42 1/8x21 5/8 ")",Gray
23,BJÖRKSTA,painting,2980,https://www.ikea.com/in/en/p/bjoerksta-picture-with-frame-water-lilies-ii-aluminium-colour-s99384669/,https://www.ikea.com/in/en/images/products/bjoerksta-picture-with-frame-water-lilies-ii-aluminium-colour__0921128_pe787680_s5.jpg?f=xxs,"Picture with frame, 118x78 cm (46 ½x30 ¾ ")",Slate
24,COLORADOGRAN,painting,299,https://www.ikea.com/in/en/p/coloradogran-picture-set-of-3-colourful-adventures-10570655/,https://www.ikea.com/in/en/images/products/coloradogran-picture-set-of-3-colourful-adventures__1246045_pe921926_s5.jpg?f=xxs,"Picture, set of 3",Orange
25,BJÖRKSTA,painting,3280,https://www.ikea.com/in/en/p/bjoerksta-picture-with-frame-white-flowers-aluminium-colour-s29508932/,https://www.ikea.com/in/en/images/products/bjoerksta-picture-with-frame-white-flowers-aluminium-colour__1176912_pe895322_s5.jpg?f=xxs,"Picture with frame, 140x56 cm (55x22 ")",Peach
26,RAMHÄLL,painting,2290,https://www.ikea.com/in/en/p/ramhaell-picture-set-of-5-peaceful-outdoors-10554839/,https://www.ikea.com/in/en/images/products/ramhaell-picture-set-of-5-peaceful-outdoors__1180169_pe896217_s5.jpg?f=xxs,"Picture, set of 5",Gray
27,PJÄTTERYD,painting,4490,https://www.ikea.com/in/en/p/pjaetteryd-picture-set-of-9-in-the-nature-90518055/,https://www.ikea.com/in/en/images/products/pjaetteryd-picture-set-of-9-in-the-nature__1024963_pe833732_s5.jpg?f=xxs,"Picture, set of 9, 179x112 cm (70 ½x44 ")",Gray
